name,description,implementation,use_cases,do_examples,dont_examples
Glassmorphism,Frosted glass effect with blur and transparency,background: rgba(255 255 255 / 0.1); backdrop-filter: blur(12px); border: 1px solid rgba(255 255 255 / 0.2); border-radius: 16px,SaaS dashboards fintech cards modern portfolios,Cards with subtle blur and light borders floating over gradient backgrounds,Heavy blur on text areas making content unreadable or blur on every element
Neumorphism,Soft extruded plastic look with subtle shadows,background: #e0e0e0; box-shadow: 8px 8px 16px #bebebe -8px -8px 16px #ffffff; border-radius: 12px,Calculators toggles music players minimal UIs,Subtle soft shadows on interactive elements like buttons and toggles,Low contrast making elements invisible to users or using on text-heavy content
Brutalism,Raw bold intentionally rough design,font-family: monospace; border: 3px solid black; background: #ff0; text-transform: uppercase,Creative agencies art portfolios experimental brands,Bold typography stark color contrasts raw HTML aesthetic,E-commerce or healthcare where trust and usability are critical
Neubrutalism,Softened brutalism with thick borders and shadows,border: 2px solid #1a1a1a; box-shadow: 4px 4px 0 #1a1a1a; border-radius: 8px; background: pastel,Startup landing pages creative tools indie products,Thick borders with offset shadows on cards and buttons with pastel backgrounds,Corporate B2B or medical apps where playfulness is inappropriate
Minimalism,Maximum whitespace reduced elements,max-width: 680px; margin: 0 auto; line-height: 1.8; color: #333,Portfolios blogs luxury brands editorial,Generous whitespace single-column layouts focused typography,Content-heavy dashboards or e-commerce where density matters
Dark Mode,Dark backgrounds with light text and colored accents,background: #0f172a; color: #f8fafc; --accent: #6366f1,Developer tools fintech gaming analytics dashboards,Dark backgrounds with proper contrast ratios and vibrant accent colors,Pure black backgrounds (#000) causing OLED smearing or insufficient contrast
Bento Grid,Asymmetric grid layout inspired by bento boxes,display: grid; grid-template-columns: repeat(4 1fr); gap: 16px; with varying spans,Feature showcases portfolios landing pages,Different sized cards highlighting key features with visual hierarchy,All cards same size defeating the purpose or too many small cells
Gradient Mesh,Complex multi-color gradient backgrounds,background: linear-gradient(135deg #667eea 0% #764ba2 100%); or mesh gradient tools,AI products creative tools modern SaaS,Subtle gradient backgrounds behind content sections or on hero areas,Gradients on text making it unreadable or too many competing gradients
Flat Design,No shadows or depth pure 2D aesthetic,No box-shadow no gradients solid colors sharp edges,Mobile apps simple tools content platforms,Clean solid color buttons with clear hover states and consistent iconography,Adding shadows or depth elements that break the flat aesthetic
Material Design,Google design system with elevation and motion,Elevation levels: 0dp 1dp 2dp 4dp 8dp 16dp; ripple effects; 8dp grid,Android apps Google ecosystem enterprise,Consistent elevation with ripple feedback on interactive elements,Mixing material with other design systems or ignoring elevation rules
Skeuomorphism,Realistic textures mimicking real objects,Realistic shadows textures gradients to mimic physical objects,Specific niche apps music production retro,Subtle realistic touches on specific interactive elements,Full skeuomorphic design on modern web apps looks dated
Claymorphism,3D clay-like soft rounded elements,border-radius: 24px; background: pastel; box-shadow: inset 2px 2px 4px light outer shadow,Kids education playful apps creative,Soft rounded elements with inner shadows creating 3D clay effect,Professional B2B or enterprise where playfulness is inappropriate
Retro/Vintage,Nostalgic design referencing past decades,Muted color palettes serif fonts grain textures vintage illustrations,Craft brands artisan products nostalgic brands,Consistent era-specific color palette typography and imagery style,Mixing retro with modern elements creating confused visual identity
Corporate Clean,Professional conservative design,System fonts or safe web fonts blue/gray palette generous whitespace,Enterprise B2B legal accounting insurance,Professional color palette clear hierarchy accessibility-first,Trying to be trendy with corporate audiences who value stability
Organic/Natural,Nature-inspired with soft shapes and earth tones,border-radius: 50% blob shapes; earth tone palette; natural textures,Sustainability wellness food organic brands,Soft organic shapes with nature-inspired imagery and earth tones,Sharp geometric shapes that contradict the organic brand message
