pattern_name,section_order,cta_placement,color_strategy,effects,conversion_tips
Hero + Features + CTA,Hero > Features (3-4) > Social Proof > Pricing > FAQ > Footer CTA,Above fold primary + after social proof secondary + footer sticky,Primary gradient hero > white features > light gray social proof > white pricing,Fade-in on scroll + hover lift on feature cards + smooth scroll nav,Hero headline under 10 words + single primary CTA above fold + benefit-driven subhead
Problem-Solution,Hero (problem) > Pain Points > Solution Demo > Features > Testimonials > CTA,After problem statement + after demo + final CTA,Dark problem section > bright solution section > neutral features,Problem/solution contrast animation + demo video autoplay + pain point icons,Lead with the pain point + show the transformation + use before/after
Before-After Transformation,Hero (transformation) > Before State > After State > How It Works > Results > CTA,After transformation visual + after results + sticky bottom,Muted tones for before > vibrant for after > clean for how it works,Before/after slider + counter animations for results + transformation timeline,Show real results with numbers + use client transformation stories
Social Proof Heavy,Hero > Logo Bar > Testimonials > Case Studies > Stats > Features > CTA,After logo bar + after case studies + bottom CTA,Trust blue hero > white testimonials > light gray stats,Logo carousel + testimonial cards with photos + animated stat counters,Show logos of recognizable clients + include specific metrics in testimonials
Product Demo First,Hero with embedded demo > Key Features > Use Cases > Integration > Pricing > CTA,Above fold try it + after features + pricing CTA,Product-focused hero > clean feature sections > accent pricing,Interactive demo + feature highlight animations + pricing toggle animation,Let the product sell itself + reduce text + show don't tell
Storytelling Narrative,Hero > Origin Story > Journey > Mission > Impact > Team > Join CTA,After origin + after impact + join us CTA,Warm narrative tones throughout > accent for CTAs,Scroll-triggered story reveals + parallax imagery + timeline,Tell a compelling story + make the reader the hero + end with community
Pricing-First,Hero > Pricing Plans > Feature Comparison > Testimonials > FAQ > CTA,Pricing is the hero + comparison CTA + bottom CTA,Highlight recommended plan with accent > neutral comparison > trust testimonials,Pricing toggle animation + feature comparison hover + FAQ accordion,Highlight recommended plan + reduce choice paralysis + annual discount
Landing Page Minimal,Hero > Single Feature > CTA,Single CTA above fold + repeated bottom,Single accent color on white > minimal palette,Subtle entrance animation + clean hover states,One message one CTA one goal + remove all distractions
SaaS Dashboard Preview,Hero > Dashboard Preview > Key Metrics > Features > Integration > CTA,Above fold get started + after dashboard preview + bottom,Dark dashboard preview > light surrounding sections,Dashboard animation + metric counters + integration logo grid,Show the actual product + highlight key metrics + list integrations
E-commerce Collection,Hero Banner > Category Grid > Featured Products > New Arrivals > Newsletter > Footer,Shop now on hero + quick add on products + newsletter,Bold hero > white product grid > accent for sales,Product hover quick-view + smooth category filtering + cart animation,High quality product photos + show price prominently + enable quick add to cart
Restaurant Menu,Hero (food photo) > Menu Highlights > About > Gallery > Reviews > Reservation,Reserve on hero + after gallery + sticky reservation,Warm food tones hero > clean menu > dark footer,Menu item hover with description + gallery lightbox + reservation form,Use real food photography + make reservation easy + show hours prominently
Portfolio Showcase,Hero (name/title) > Selected Work > About > Skills > Contact,Contact on hero + after each project + footer,Minimal black/white > accent for links > project-specific colors,Project hover reveals + smooth page transitions + cursor effects,Let work speak + minimal text + easy contact access
Blog/Content,Hero (featured post) > Category Navigation > Post Grid > Newsletter > Sidebar,Read more on posts + newsletter popup + sidebar CTA,Clean white > accent for categories > minimal palette,Smooth category filtering + reading progress bar + infinite scroll,Great typography + fast loading + clear category navigation
Event/Conference,Hero (event details) > Speakers > Schedule > Venue > Sponsors > Register,Register on hero + after speakers + sticky register,Event brand colors > clean schedule > sponsor logos,Countdown timer + speaker card reveals + schedule tab animation,Show date/location prominently + speaker social proof + early bird pricing
Real Estate Listing,Hero (search) > Featured Properties > Neighborhoods > Agent > Contact,Search on hero + view property CTA + contact agent,Professional blue > white listings > accent for price,Map integration + property carousel + virtual tour,Search first + high quality photos + show price and key details
App Landing Page,Hero (phone mockup) > App Features > Screenshots > Reviews > Download,Download on hero + after screenshots + bottom,App brand colors > clean sections > store button colors,Phone mockup scroll + screenshot carousel + review stars,Show the app in context + app store badges + user review quotes
Nonprofit Impact,Hero (impact image) > Mission > Impact Stats > Stories > Donate > Newsletter,Donate on hero + after impact stats + bottom sticky,Empathetic warm tones > white stats > green donate,Impact counter animation + story carousel + donation form,Lead with impact + show where money goes + make donating easy
Fitness/Gym,Hero (action shot) > Programs > Trainers > Schedule > Transformation > Join,Join on hero + after transformations + pricing,Dark energetic > accent for CTA > result photos,Video background hero + trainer cards + before/after slider,Show real results + trainer credentials + class schedule
