category,rule,do_pattern,do_code,dont_pattern,dont_code,severity
Navigation,Use sticky navigation on long pages,Fixed nav that stays visible on scroll,"position: sticky; top: 0; z-index: 50; backdrop-filter: blur(8px);",Nav disappears on scroll forcing users to scroll back up,"position: static; /* nav scrolls away */",HIGH
Navigation,Add smooth scroll for anchor links,Smooth scrolling to sections on click,"html { scroll-behavior: smooth; } /* or scrollIntoView({ behavior: 'smooth' }) */",Instant jump to section disorienting user,"/* no smooth scroll default jump behavior */",MEDIUM
Navigation,Show active section in nav,Highlight current section in navigation,"Use IntersectionObserver to toggle .active class on nav links",No indication of current section,".nav-link { /* no active state */ }",MEDIUM
Navigation,Use breadcrumbs for deep pages,Show navigation path for nested content,"<nav aria-label=""Breadcrumb""><ol>...</ol></nav>",No way to navigate back in deep hierarchies,"/* no breadcrumb users must use back button */",MEDIUM
Navigation,Mobile hamburger with clear label,Labeled menu button on mobile,"<button aria-label=""Menu"" aria-expanded=""false"">Menu</button>",Unlabeled icon-only hamburger,"<div class=""hamburger"" onclick=""toggle()"">☰</div>",HIGH
Animation,Keep animations under 300ms,Fast responsive micro-interactions,"transition: all 0.2s ease-out;",Slow animations that feel sluggish,"transition: all 1s ease; /* too slow */",HIGH
Animation,Respect reduced motion preference,Disable animations for users who prefer it,"@media (prefers-reduced-motion: reduce) { * { animation: none !important; transition-duration: 0.01ms !important; } }",Forcing animations on all users,"/* no reduced motion support */",HIGH
Animation,Use ease-out for entrances,Natural deceleration for elements appearing,"transition: transform 0.3s ease-out;",Linear motion feels robotic and unnatural,"transition: transform 0.3s linear;",LOW
Animation,Stagger list animations,Sequential reveal for list items,"animation-delay: calc(var(--i) * 0.05s);",All items animating simultaneously,"/* all items animate at once */",LOW
Animation,Avoid layout-triggering animations,Animate transform and opacity only,"transform: translateY(10px); opacity: 0; /* animate these */",Animating width height margin padding,"width: 0; /* animate to full width causes layout thrash */",HIGH
Forms,Always use visible labels,Labels above or beside inputs,"<label for=""email"">Email</label><input id=""email"" type=""email"">",Placeholder-only labels that disappear on focus,"<input placeholder=""Email""> /* no label */",HIGH
Forms,Show inline validation errors,Error messages next to the relevant field,"<span class=""error"" role=""alert"">Please enter a valid email</span>",Errors only at top of form or alert boxes,"alert('Please fix the errors'); /* bad UX */",HIGH
Forms,Use appropriate input types,Correct HTML5 input types for mobile keyboards,"<input type=""email""> <input type=""tel""> <input type=""number"">",Text input for everything,"<input type=""text""> <!-- for email phone number -->",MEDIUM
Forms,Show password requirements upfront,Display requirements before user starts typing,"<ul class=""requirements""><li>8+ characters</li><li>1 uppercase</li></ul>",Only showing requirements after failed submission,"/* requirements hidden until error */",MEDIUM
Forms,Support autofill properly,Use autocomplete attributes,"<input autocomplete=""given-name""> <input autocomplete=""email"">",Blocking browser autofill,"autocomplete=""off"" /* blocks helpful autofill */",MEDIUM
Accessibility,Maintain 4.5:1 contrast ratio,WCAG AA compliant text contrast,"color: #1e293b; background: #ffffff; /* 12.6:1 ratio */",Low contrast light gray on white,"color: #a0a0a0; background: #ffffff; /* 2.4:1 fails WCAG */",HIGH
Accessibility,Use semantic HTML elements,Proper heading hierarchy and landmarks,"<main> <nav> <article> <section> <h1> then <h2> etc",Div soup with no semantic meaning,"<div class=""heading""> <div class=""nav""> /* no semantics */",HIGH
Accessibility,Make all interactive elements keyboard accessible,Tab order and focus styles,"button:focus-visible { outline: 2px solid #2563eb; outline-offset: 2px; }",Removing focus outlines,"*:focus { outline: none; } /* breaks keyboard nav */",HIGH
