name,category,heading_font,body_font,mood,best_for,google_fonts_url
Classic Elegant,Serif + Sans,Playfair Display,Inter,luxury elegant refined,luxury fashion spa editorial,https://fonts.google.com/share?selection.family=Playfair+Display|Inter
Modern Clean,Sans + Sans,Inter,Inter,clean professional minimal,SaaS B2B corporate dashboards,https://fonts.google.com/share?selection.family=Inter
Tech Startup,Sans + Sans,Space Grotesk,DM Sans,modern innovative clean,tech companies startups SaaS,https://fonts.google.com/share?selection.family=Space+Grotesk|DM+Sans
Developer Mono,Mono + Sans,JetBrains Mono,IBM Plex Sans,technical precise focused,developer tools code editors,https://fonts.google.com/share?selection.family=JetBrains+Mono|IBM+Plex+Sans
Bold Statement,Display + Sans,Sora,Plus Jakarta Sans,bold energetic confident,agencies portfolios creative,https://fonts.google.com/share?selection.family=Sora|Plus+Jakarta+Sans
Warm Friendly,Sans + Sans,Nunito,Source Sans 3,warm approachable friendly,education nonprofit community,https://fonts.google.com/share?selection.family=Nunito|Source+Sans+3
Geometric Modern,Sans + Sans,Outfit,Work Sans,geometric structured modern,fintech analytics data,https://fonts.google.com/share?selection.family=Outfit|Work+Sans
Editorial Premium,Serif + Sans,Fraunces,Manrope,editorial premium storytelling,media publishing magazines,https://fonts.google.com/share?selection.family=Fraunces|Manrope
Playful Creative,Display + Sans,Fredoka,Quicksand,playful fun creative,kids education gaming casual,https://fonts.google.com/share?selection.family=Fredoka|Quicksand
Healthcare Trust,Sans + Sans,Plus Jakarta Sans,Inter,trustworthy calm professional,healthcare medical telemedicine,https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans|Inter
Luxury Minimal,Serif + Sans,Cormorant Garamond,Raleway,luxurious minimal exclusive,luxury real estate premium,https://fonts.google.com/share?selection.family=Cormorant+Garamond|Raleway
E-commerce Sharp,Sans + Sans,DM Sans,Inter,sharp commercial conversion,e-commerce retail marketplace,https://fonts.google.com/share?selection.family=DM+Sans|Inter
Restaurant Warm,Serif + Sans,Libre Baskerville,Lato,warm inviting traditional,restaurants cafes food,https://fonts.google.com/share?selection.family=Libre+Baskerville|Lato
Legal Professional,Serif + Sans,Lora,Source Sans 3,authoritative trustworthy,law firms accounting legal,https://fonts.google.com/share?selection.family=Lora|Source+Sans+3
Crypto Futuristic,Sans + Sans,Urbanist,Space Grotesk,futuristic cutting-edge,crypto blockchain web3,https://fonts.google.com/share?selection.family=Urbanist|Space+Grotesk
Travel Adventure,Display + Sans,Bebas Neue,Roboto,adventurous bold exciting,travel tourism adventure,https://fonts.google.com/share?selection.family=Bebas+Neue|Roboto
Fitness Energy,Sans + Sans,Montserrat,Open Sans,energetic powerful dynamic,fitness sports athletics,https://fonts.google.com/share?selection.family=Montserrat|Open+Sans
Beauty Soft,Sans + Sans,Poppins,Nunito,soft elegant delicate,beauty cosmetics wellness,https://fonts.google.com/share?selection.family=Poppins|Nunito
News Editorial,Serif + Serif,Merriweather,Source Serif 4,authoritative readable,news media journalism,https://fonts.google.com/share?selection.family=Merriweather|Source+Serif+4
Dashboard Data,Sans + Mono,Inter,JetBrains Mono,analytical precise data-driven,dashboards analytics admin panels,https://fonts.google.com/share?selection.family=Inter|JetBrains+Mono
Artisan Craft,Serif + Sans,Playfair Display,Lato,handcrafted artisanal boutique,artisan craft local business,https://fonts.google.com/share?selection.family=Playfair+Display|Lato
Startup Bold,Sans + Sans,Bricolage Grotesque,Inter,bold startup confident,startups landing pages,https://fonts.google.com/share?selection.family=Bricolage+Grotesque|Inter
Minimal Swiss,Sans + Sans,Helvetica Neue (system),Inter,minimal swiss clean,minimalist portfolios design,https://fonts.google.com/share?selection.family=Inter
Corporate Safe,Sans + Sans,Roboto,Open Sans,safe corporate universal,corporate enterprise B2B,https://fonts.google.com/share?selection.family=Roboto|Open+Sans
Music Creative,Display + Sans,Righteous,Rubik,creative expressive bold,music entertainment events,https://fonts.google.com/share?selection.family=Righteous|Rubik
